Image,Height,Width,Alpha,Distance
download.jpeg,129.28282165527344,87.4098624587059,47.45931946920478,5.5925089185644445
WhatsApp Image 2024-03-13 at 15.11.22_eaf93593.jpg,444.7264099121094,379.13812255859375,31.51318340324767,1.6257530855142641
WhatsApp Image 2024-03-13 at 15.11.22_eaf93593.jpg,413.46250915527344,208.73486328125,59.67887488028014,1.7486841421280326
WhatsApp Image 2024-03-13 at 15.11.23_086aada3.jpg,271.8505859375,270.12786865234375,6.453704999328196,2.6596055720494878
WhatsApp Image 2024-03-13 at 15.11.23_086aada3.jpg,260.7720031738281,246.82290649414062,18.825017317323088,2.772595694033681
WIN_20240314_20_20_38_Pro.jpg,496.150634765625,486.50531005859375,11.31606335949353,1.4572496384406242
WIN_20240314_20_32_20_Pro.jpg,168.00161743164062,167.1544189453125,5.756468842398081,4.3036212637565
WIN_20240314_20_57_08_Pro.jpg,303.38092041015625,256.10302734375,32.4176031728192,2.3831931558082546
WIN_20240314_20_57_08_Pro.jpg,257.932861328125,230.16183471679688,26.832192666874942,2.80311445932638
WIN_20240322_17_25_02_Pro.jpg,577.4586791992188,576.9658203125,2.3673875721421735,1.252064189470531
WIN_20240322_17_27_05_Pro.jpg,552.642333984375,552.642333984375,0.0,1.308287998698151
WIN_20240322_17_28_51_Pro.jpg,381.9183349609375,381.9183349609375,0.0,1.893115011611692
WIN_20240322_17_41_22_Pro.jpg,515.913818359375,475.248291015625,22.901138439317346,1.401426570475489
WIN_20240322_17_43_18_Pro.jpg,360.847412109375,359.741455078125,4.486998704523449,2.0036594661932696
WIN_20240322_17_48_39_Pro.jpg,379.08453369140625,379.08453369140625,0.0,1.9072667673455226
WIN_20240322_17_49_38_Pro.jpg,401.8868408203125,401.8868408203125,0.0,1.7990520208337957
WIN_20240322_17_50_35_Pro.jpg,390.39312744140625,390.39312744140625,0.0,1.852018599463716
WIN_20240322_18_12_27_Pro.jpg,571.6849975585938,543.6861572265625,18.00602663710568,1.2647093000725265
WIN_20240322_18_14_05_Pro.jpg,573.70751953125,508.9769287109375,27.480064008705188,1.2602507523607773
WIN_20240322_18_15_09_Pro.jpg,527.5160522460938,472.87396240234375,26.309073673849003,1.370603472720478
WIN_20240322_18_15_09_Pro.jpg,283.5604248046875,276.5087890625,12.804537545106344,2.5497751797427166
WIN_20240322_18_17_11_Pro.jpg,649.962890625,617.6953125,18.12966741482542,1.1123947898456885
